projeto_id;team_id;team_str;ae_bn_mean;rank_bn;AT_cont;AC_cont;dist_AT;dist_AC;dist_AE;pc_score;pc_label;dominio_tier;ecossistema_tier;linguagens_tier;dominio_score;ecossistema_score;linguagens_score;t_cpt_build_s;t_dim_s;t_pc_graph_s;t_pc_transform_s;t_infer_at_s;t_infer_ae_s;t_infer_total_s;t_team_total_s;t_project_total_s;t_project_total_plus_cpt_s;dominio_m_total;dominio_m_covered;dominio_m_covered_list;dominio_s_total;dominio_s_covered;dominio_s_covered_list;dominio_c_total;dominio_c_covered;dominio_c_covered_list;ecossistema_m_total;ecossistema_m_covered;ecossistema_m_covered_list;ecossistema_s_total;ecossistema_s_covered;ecossistema_s_covered_list;ecossistema_c_total;ecossistema_c_covered;ecossistema_c_covered_list;linguagens_m_total;linguagens_m_covered;linguagens_m_covered_list;linguagens_s_total;linguagens_s_covered;linguagens_s_covered_list;linguagens_c_total;linguagens_c_covered;linguagens_c_covered_list
P4;P4-TEAM3;"[Dev438;Dev270;Dev104;Dev293]";0.325413;5;0.350491;0.300000;0.000427,0.746691,0.252880,0.000002,0.000000;0.000000,1.000000,0.000000,0.000000,0.000000;0.017060,0.838823,0.144108,0.000008,0.000000;0.300000;L;VH;VL;VL;0.857143;0.000000;0.000000;3.836989;0.029162;0.000023;0.000044;0.007283;0.010569;0.017853;0.056231;0.224100;4.061089;1;1;web;1;1;cloud;1;0;;1;0;;2;1;angular;1;1;aws lambda;1;0;;2;2;python,typescript;2;0;
P4;P4-TEAM4;"[Dev198;Dev415;Dev62;Dev559]";0.387124;4;0.473708;0.300000;0.000000,0.133387,0.864683,0.001929,0.000000;0.000000,1.000000,0.000000,0.000000,0.000000;0.003004,0.558446,0.438478,0.000072,0.000000;0.300000;L;M;VL;M;0.500000;0.000000;0.500000;3.836989;0.004377;0.000027;0.000052;0.014979;0.014168;0.029148;0.048812;0.224100;4.061089;1;1;web;1;0;;1;0;;1;1;mongodb;2;0;;1;0;;1;1;javascript;2;0;;2;0;
P5;P5-TEAM0;"[Dev174;Dev265;Dev524;Dev169]";0.128993;5;0.150789;0.100000;0.746058,0.253940,0.000002,0.000000,0.000000;1.000000,0.000000,0.000000,0.000000,0.000000;0.855042,0.144949,0.000008,0.000000,0.000000;0.100000;VL;L;VL;VL;0.250000;0.047619;0.095238;3.836989;0.007243;0.000020;0.000038;0.008398;0.013092;0.021490;0.040199;0.187932;4.024921;2;1;web;1;0;;1;1;desktop;3;1;react;1;1;.net;1;0;;3;1;javascript;2;2;c#,java;2;0;
P5;P5-TEAM1;"[Dev438;Dev558;Dev461;Dev297]";0.375186;1;0.449858;0.300000;0.000001,0.251144,0.748419,0.000436,0.000000;0.000000,1.000000,0.000000,0.000000,0.000000;0.005630,0.612847,0.381489,0.000034,0.000000;0.300000;L;H;L;L;0.642857;0.253968;0.238095;3.836989;0.004281;0.000027;0.000053;0.012580;0.010583;0.023163;0.039951;0.187932;4.024921;2;2;cloud,web;1;1;mobile;1;0;;3;2;aws lambda,react;1;0;;1;1;android;3;2;javascript,python;2;0;;2;1;kotlin
P5;P5-TEAM2;"[Dev324;Dev439;Dev370;Dev250]";0.225689;2;0.350739;0.100000;0.000421,0.745465,0.254113,0.000002,0.000000;1.000000,0.000000,0.000000,0.000000,0.000000;0.377368,0.616817,0.005815,0.000000,0.000000;0.100000;VL;M;L;L;0.428572;0.253968;0.253968;3.836989;0.003783;0.000019;0.000036;0.009919;0.010275;0.020194;0.033029;0.187932;4.024921;2;2;cloud,web;1;1;mobile;1;0;;3;2;aws lambda,react;1;0;;1;1;android;3;2;javascript,python;2;0;;2;2;kotlin,swift
P5;P5-TEAM3;"[Dev331;Dev36;Dev181;Dev494]";0.164574;4;0.150789;0.300000;0.746058,0.253940,0.000002,0.000000,0.000000;0.000000,1.000000,0.000000,0.000000,0.000000;0.683021,0.311090,0.005890,0.000000,0.000000;0.200000;L;L;VL;VL;0.214286;0.111111;0.111111;3.836989;0.003409;0.000019;0.000036;0.010249;0.011880;0.022129;0.034484;0.187932;4.024921;2;1;cloud;1;1;mobile;1;0;;3;1;aws lambda;1;0;;1;1;android;3;1;python;2;0;;2;2;kotlin,swift
P5;P5-TEAM4;"[Dev479;Dev389;Dev357;Dev316]";0.195508;3;0.289675;0.100000;0.059028,0.933567,0.007405,0.000000,0.000000;1.000000,0.000000,0.000000,0.000000,0.000000;0.522661,0.477140,0.000199,0.000000,0.000000;0.100000;VL;L;VL;L;0.214286;0.000000;0.238095;3.836989;0.004355;0.000024;0.000039;0.009070;0.009332;0.018402;0.037655;0.187932;4.024921;2;1;web;1;1;mobile;1;0;;3;0;;1;0;;1;1;android;3;2;javascript,typescript;2;0;;2;1;kotlin
P6;P6-TEAM0;"[Dev65;Dev71;Dev63;Dev261]";0.254395;2;0.249664;0.300000;0.252112,0.747457,0.000431,0.000000,0.000000;0.000000,1.000000,0.000000,0.000000,0.000000;0.245577,0.736874,0.017549,0.000000,0.000000;0.200000;L;M;VL;VL;0.428572;0.000000;0.000000;3.836989;0.003200;0.000019;0.000038;0.009947;0.007763;0.017710;0.036542;0.232345;4.069334;2;2;embedded,hardware;1;1;iot;1;1;cloud;2;2;desenvolvimento de placa,pcb;1;1;eletrônica (circuitos lógicos e analógicos);3;3;analisador lógico),instrumentação (osciloscópio,prototipação;1;1;c;1;1;c++;1;1;python
P6;P6-TEAM1;"[Dev508;Dev193;Dev36;Dev335]";0.275664;1;0.249664;0.500000;0.252112,0.747457,0.000431,0.000000,0.000000;0.000000,0.000000,1.000000,0.000000,0.000000;0.191098,0.739495,0.069397,0.000010,0.000000;0.500000;M;M;VL;VL;0.428572;0.000000;0.000000;3.836989;0.021591;0.000020;0.000038;0.009146;0.006993;0.016139;0.046916;0.232345;4.069334;2;2;embedded,hardware;1;1;iot;1;1;cloud;2;2;desenvolvimento de placa,pcb;1;1;eletrônica (circuitos lógicos e analógicos);3;3;analisador lógico),instrumentação (osciloscópio,prototipação;1;1;c;1;1;c++;1;1;python
P6;P6-TEAM2;"[Dev242;Dev168;Dev446;Dev93]";0.254395;3;0.249664;0.300000;0.252112,0.747457,0.000431,0.000000,0.000000;0.000000,1.000000,0.000000,0.000000,0.000000;0.245577,0.736874,0.017549,0.000000,0.000000;0.200000;L;M;VL;VL;0.428572;0.000000;0.000000;3.836989;0.026691;0.000027;0.000048;0.009474;0.007023;0.016496;0.052079;0.232345;4.069334;2;2;embedded,hardware;1;1;iot;1;1;cloud;2;2;desenvolvimento de placa,pcb;1;1;eletrônica (circuitos lógicos e analógicos);3;3;analisador lógico),instrumentação (osciloscópio,prototipação;1;1;c;1;1;c++;1;1;python
P6;P6-TEAM3;"[Dev568;Dev463;Dev7;Dev498]";0.154540;4;0.104680;0.500000;0.976598,0.023402,0.000000,0.000000,0.000000;0.000000,0.000000,1.000000,0.000000,0.000000;0.729460,0.268379,0.002161,0.000000,0.000000;0.500000;M;VL;VL;VL;0.000000;0.000000;0.000000;3.836989;0.029755;0.000028;0.000048;0.007029;0.010193;0.017222;0.058347;0.232345;4.069334;2;0;;1;0;;1;0;;2;0;;1;0;;3;0;;1;0;;1;0;;1;0;
P6;P6-TEAM4;"[Dev67;Dev94;Dev291;Dev450]";0.122672;5;0.104680;0.300000;0.976598,0.023402,0.000000,0.000000,0.000000;0.000000,1.000000,0.000000,0.000000,0.000000;0.887185,0.112272,0.000543,0.000000,0.000000;0.200000;L;VL;VL;VL;0.000000;0.000000;0.000000;3.836989;0.004982;0.000018;0.000038;0.012656;0.007334;0.019990;0.036432;0.232345;4.069334;2;0;;1;0;;1;0;;2;0;;1;0;;3;0;;1;0;;1;0;;1;0;
